Static version
User: 	780.000ms	 Real: 	779.309ms	 System: 	  0.000ms	 Action: Sort contacts in list book
User: 	  0.000ms	 Real: 	  0.006ms	 System: 	  0.000ms	 Action: Delete contact in BST book (optimistic case)
User: 	  0.000ms	 Real: 	  0.001ms	 System: 	  0.000ms	 Action: Delete contact in list book (optimistic case)
User: 	  0.000ms	 Real: 	  0.002ms	 System: 	  0.000ms	 Action: Delete contact in BST book (pessimistic case)
User: 	  0.000ms	 Real: 	  0.898ms	 System: 	  0.000ms	 Action: Delete contact in list book (pessimistic case)
User: 	  0.000ms	 Real: 	  0.002ms	 System: 	  0.000ms	 Action: Find contact in BST book (optimistic case)
User: 	  0.000ms	 Real: 	  0.002ms	 System: 	  0.000ms	 Action: Find contact in list book (optimistic case)
User: 	  0.000ms	 Real: 	  0.002ms	 System: 	  0.000ms	 Action: Find contact in BST book (pessimistic case)
User: 	  0.000ms	 Real: 	  0.955ms	 System: 	  0.000ms	 Action: Find contact in list book (pessimistic case)
User: 	  4.000ms	 Real: 	  3.226ms	 System: 	  0.000ms	 Action: Delete BST book
User: 	  4.000ms	 Real: 	  3.558ms	 System: 	  0.000ms	 Action: Delete list book



Dynamic version
User: 	  4.000ms	 Real: 	  5.079ms	 System: 	  0.000ms	 Action: Alloc space for and load contacts from .csv
User: 	  0.000ms	 Real: 	  0.001ms	 System: 	  0.000ms	 Action: Create BST book
User: 	  0.000ms	 Real: 	  0.000ms	 System: 	  0.000ms	 Action: Create list book
User: 	  0.000ms	 Real: 	  0.003ms	 System: 	  0.000ms	 Action: Add first element to BST book
User: 	  0.000ms	 Real: 	  0.001ms	 System: 	  0.000ms	 Action: Add first element to list book
User: 	  4.000ms	 Real: 	  8.704ms	 System: 	  4.000ms	 Action: Add all remaining contacts to BST book
User: 	  4.000ms	 Real: 	  3.714ms	 System: 	  0.000ms	 Action: Add all remaining contats to List book
User: 	  0.000ms	 Real: 	  0.001ms	 System: 	  0.000ms	 Action: Average time of adding contact to BST book
User: 	  0.000ms	 Real: 	  0.000ms	 System: 	  0.000ms	 Action: Average time of adding contact to list book
User: 	 16.000ms	 Real: 	 17.732ms	 System: 	  4.000ms	 Action: Sort contacts in BST book
User: 	776.000ms	 Real: 	779.592ms	 System: 	  0.000ms	 Action: Sort contacts in list book
User: 	  0.000ms	 Real: 	  0.006ms	 System: 	  0.000ms	 Action: Delete contact in BST book (optimistic case)
User: 	  0.000ms	 Real: 	  0.001ms	 System: 	  0.000ms	 Action: Delete contact in list book (optimistic case)
User: 	  0.000ms	 Real: 	  0.002ms	 System: 	  0.000ms	 Action: Delete contact in BST book (pessimistic case)
User: 	  4.000ms	 Real: 	  0.891ms	 System: 	  0.000ms	 Action: Delete contact in list book (pessimistic case)
User: 	  0.000ms	 Real: 	  0.000ms	 System: 	  0.000ms	 Action: Find contact in BST book (optimistic case)
User: 	  0.000ms	 Real: 	  0.000ms	 System: 	  0.000ms	 Action: Find contact in list book (optimistic case)
User: 	  0.000ms	 Real: 	  0.001ms	 System: 	  0.000ms	 Action: Find contact in BST book (pessimistic case)
User: 	  0.000ms	 Real: 	  0.977ms	 System: 	  0.000ms	 Action: Find contact in list book (pessimistic case)
User: 	  4.000ms	 Real: 	  3.222ms	 System: 	  0.000ms	 Action: Delete BST book
User: 	  4.000ms	 Real: 	  3.549ms	 System: 	  0.000ms	 Action: Delete list book



